BaseName,Tag,Original_Value,Converted_Value,Change_Status
"(A2u Cloud) Chinese","FlashPix:ModifyDate","2015:04:22 04:21:00","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Pages","6","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Paragraphs","8","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:RevisionNumber","126","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:ScaleCrop","No","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Security","","","Modified"
"(A2u Cloud) Chinese","FlashPix:SharedDoc","No","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Software","Microsoft Office Word","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Subject","","","Modified"
"(A2u Cloud) Chinese","FlashPix:System","Windows","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Template","Normal","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Title","","","Modified"
"(A2u Cloud) Chinese","FlashPix:TitleOfParts","","","Modified"
"(A2u Cloud) Chinese","FlashPix:TotalEditTime","3.5 hours","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Word97","No","","Removed from original"
"(A2u Cloud) Chinese","FlashPix:Words","652","","Removed from original"
"(A2u Cloud) Chinese","ICC-header:CMMFlags","","Not Embedded, Independent","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ColorSpaceData","","GRAY","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ConnectionSpaceIlluminant","","0.9642 1 0.82491","Added in converted"
"(A2u Cloud) Chinese","ICC-header:DeviceAttributes","","Reflective, Glossy, Positive, Color","Added in converted"
"(A2u Cloud) Chinese","ICC-header:DeviceManufacturer","","none","Added in converted"
"(A2u Cloud) Chinese","ICC-header:DeviceModel","","","Modified"
"(A2u Cloud) Chinese","ICC-header:PrimaryPlatform","","Apple Computer Inc.","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileCMMType","","Adobe Systems Inc.","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileClass","","Output Device Profile","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileConnectionSpace","","XYZ ","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileCreator","","Adobe Systems Inc.","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileDateTime","","1999:06:03 00:00:00","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileFileSignature","","acsp","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileID","","0","Added in converted"
"(A2u Cloud) Chinese","ICC-header:ProfileVersion","","2.1.0","Added in converted"
"(A2u Cloud) Chinese","ICC-header:RenderingIntent","","Perceptual","Added in converted"
"(A2u Cloud) Chinese","ICC_Profile:GrayTRC","","(Binary data 524 bytes, use -b option to extract)","Added in converted"
"(A2u Cloud) Chinese","ICC_Profile:MediaBlackPoint","","0 0 0","Added in converted"
"(A2u Cloud) Chinese","ICC_Profile:MediaWhitePoint","","0.9642 1 0.82491","Added in converted"
"(A2u Cloud) Chinese","ICC_Profile:ProfileCopyright","","Copyright 1999 Adobe Systems Incorporated","Added in converted"
"(A2u Cloud) Chinese","ICC_Profile:ProfileDescription","","Dot Gain 20%","Added in converted"
