Drive,Title,DOC/X Size,A-2u Size,A-1b Size,,A-2u Multiplier,A-1b Multiplier
Gabriel,Os milagres acontecem num atimo(2),127,912,1277,,7.181102362,10.05511811
Gabriel,Os milagres acontecem num atimo(3),130,958,1322,,7.369230769,10.16923077
Gabriel,Os milagres acontecem num atimo(4),134,968,1332,,7.223880597,9.940298507
Gabriel,Os milagres acontecem num atimo(5),135,969,1333,,7.177777778,9.874074074
Gabriel,Os milagres acontecem num atimo(6),136,972,1336,,7.147058824,9.823529412
Gabriel,Os milagres acontecem num atimo(7),143,953,1319,,6.664335664,9.223776224
Gabriel,Os milagres acontecem num atimo(8),144,949,1314,,6.590277778,9.125
Gabriel,Os milagres acontecem num atimo(9),144,950,1315,,6.597222222,9.131944444
Gabriel,Osmilagres acontecem num atimo(10),146,957,1322,,6.554794521,9.054794521
Gabriel,Os milagres acontecem num atimo(11),148,957,1323,,6.466216216,8.939189189
Gabriel,Os milagres acontecem num atimo(12),150,966,1331,,6.44,8.873333333
Gabriel,Os milagres acontecem num atimo(13),153,968,1332,,6.326797386,8.705882353
Gabriel,Os milagres acontecem num atimo(14),155,971,1337,,6.264516129,8.625806452
Gabriel,Os milagres acontecem num atimo,86,746,1114,,8.674418605,12.95348837
